User_name,Review Title,Review Content,,app name
             Peggy         , Poor Customer Service ,"                 Great video conferencing service. Very, very poor service. Never could get phone service to set up properly and asked for a refund and to cancel. Got a reply on May 9 that they were looking into it. Never heard back. Just realized that they charged me for a second month. Using Skype or Teams for my phone service. Starting to look for options to Zoom for video and webinars. I expect a company (no matter who fast they are growing) to be responsive.             ",,zoom
             Tony Reihl         , ZOOM IS A DECEITFUL.... Don't give them your money ,"                 This is what I wrote to PayPal and I am pretty confident I will get some of my money back. ""I made multiple attempts to change my zoom account from 2 licensees to 1 license throughout the month of May. These attempts included trying to use the website to change it which consistently resulted in an error that was being worked on. I called on two occasions and after sitting on hold for an unbelievable length of time, I was put through to an answering service that took my information and concern and said someone would be in touch with me. This never happened.  I also emailed the company twice and received no response. Ultimately, I wish I would have just canceled the subscription all together, which is what I did on the day I was notified they still charged my account for two licensees. I think that transaction is fraud, but since my request was to keep one license, then I am willing to pay that amount. Unfortunately, the ability to provide any proof of my attempts to rectify this problem can not be provided since, other than taking screen shots, everything is embedded in their site. I am disgusted in the terrible customer service and plan on filing a complaint with the BBB as well. Thank you.THIS COMPANY IS A SHAM AND THEIR CUSTOMER SERVICE IS THE WORST I HAVE EVER ENCOUNTERED IN MY LIFE!!! Use Google Duo, or WhatsApp. Their video quality is better and it is free.             ",,zoom
             Precious         , Zoom is TRASH ,"                 Zoom is TRASH. No customer service whatsoever.  No tech support.  Nothing.  Don’t waste your money, or time.             ",,zoom
             Ruben J. Mullen         , I have had no problem getting support… ,                 I have had no problem getting support when I needed it. Great service zoom..             ,,zoom
             GeorgieS         , Fine on Basic but appalling service when being paid ,"                 Fine on Basic but I registered and put DD in place for Pro. Zoom has failed to upgrade my account - even whilst taking two monthly payments and me sending multiple emails and speaking to several Zoom employees in Sales, Billing etc. Great idea - appalling service and response to communication. I am looking forward to them losing massive market share to a competitor.             ",,zoom
             April immons         , Access into your partner's device. ,                 Access into your partner's device.L.E.G.I.O.N.H.A.C.K.S.5.6 AT. G.M.A.I.L.             ,,zoom
             Morten Funcloud         , Dobble billing and customer support ,                 Dobble billing and customer support Very hard to integrate to website             ,,zoom
             TJ (Estates) Limited         , We have used Zoom for remote viewing ,"                 We have used Zoom for remote viewing, and it has proven reliable and effective as a solution. In this post COVID world, it may be a great tool to continue using.             ",,zoom
             alf         , child abuse ,                 child abuse. i failed because i can't afford a camera             ,,zoom
             Ian          , Customer service is the most useless… ,"                 Customer service is the most useless farce I've seen a business use.  It consists of a chat bot that only answers by sending you to their customer support page, which then sends you to the chat bot.  No one in their right mind should ever consider using this service.             ",,zoom
             Mohamed Hassan         , Zoom has superior functionality and is… ,"                 Zoom has superior functionality and is super easy to use. We have been using it for years and we cannot recommend it enough. It has almost never let us down. Not even on a single call for years.The pricing is reasonable. Initially we were using a monthly subscription, then we moved to annual. We once had a delayed payment for over a month, but they were understanding enough and kept our premium service running until we paid.Again cannot recommend them enough for business use.             ",,zoom
             Dusko Nedic         , Zoom is a criminal organisation ,"                 Zoom is a criminal organisation. I have sent a number of e-mails and had a number of calls. I have paid for a business plan and they keep me on the basic one which is free.  I have already reported them to  the respective trade offices and request a charge back from my bank. Please, do not make the same mistake, find something else. Regards,Dusko             ",,zoom
             Ramon Cano Jr         , No customer Service - No support response ,                 We have a pro account with 8 paid host licenses.  We have had a billing issue since day 1 and I have been unable to get support on the issue.  I have two support tickets open with them and NO response.  I have now opened a third ticket. I have made multiple calls to their billing department but just stay on hold for a long time then eventually gets answered by an answering service and they take your info so they can call you back.  Been waiting for a call back for a month now.             ,,zoom
             Meredith Conder         , Poor service ,"                 Poor service, they didn't let you more than 40 mins for free!             ",,zoom
             Mohummed Uddin (Momo)         , longer calls make better reviews ,"                 rubbish they should make ordinary members be able to do longer video calls,and hey should tell you if somebody is typing or not.skype is so much better..             ",,zoom
             Bree G         , Connection drops frequently but you can… ,                 Connection drops frequently but you can fix it if you turn off other devices and connections.             ,,zoom
             Naina Maraikar         , Customer Support is very worse ,                 Customer Support is very worse.  Struggling to get support for a week now.  No Response/Resolution yet.             ,,zoom
             Beni         , Can't Trust Them ,"                 The fact that they claim that you have 40min time limit when using the free version but then they cut you off suddenly after 30-35mins makes me not trust them. They straight up lie and then have the nerve to ask me to upgrade. I really wanted to get the Pro version, but NO thank you, I can't trust liars with my credit card.             ",,zoom
             Trevor Crago         , Constant crashes ,"                 So, when you try and enter a meeting, the computer app will crash 8 times. The phone app will crash at the same time. And you’ll totally miss the essential meeting because Zoom’s update crashed the entire computer.  Even then, the paid version is overpriced for what it is.  So thanks Zoom. Wish everyone still used Skype.             ",,zoom
             Mark         ," Hopeless support, double billing ","                 My experience matches that of most people, it seems. The product is good (except for constantly changing and confusing functionality and one day of no service at a couple of weeks ago). Customer service is utterly appalling, in fact seems to be non existent. They are billing me twice every month at the moment and will not reply to emails. Their robot chat facility on their website is utterly useless. Not sure want to do. I like the product, on the whole, but don’t want to go on paying double for it every month, so time to start looking elsewhere, I think. What a shame, this company should be making a massive success of this product at the moment.             ",,zoom
             Peggy         , Poor Customer Service ,"                 Great video conferencing service. Very, very poor service. Never could get phone service to set up properly and asked for a refund and to cancel. Got a reply on May 9 that they were looking into it. Never heard back. Just realized that they charged me for a second month. Using Skype or Teams for my phone service. Starting to look for options to Zoom for video and webinars. I expect a company (no matter who fast they are growing) to be responsive.             ",,zoom
             Tony Reihl         , ZOOM IS A DECEITFUL.... Don't give them your money ,"                 This is what I wrote to PayPal and I am pretty confident I will get some of my money back. ""I made multiple attempts to change my zoom account from 2 licensees to 1 license throughout the month of May. These attempts included trying to use the website to change it which consistently resulted in an error that was being worked on. I called on two occasions and after sitting on hold for an unbelievable length of time, I was put through to an answering service that took my information and concern and said someone would be in touch with me. This never happened.  I also emailed the company twice and received no response. Ultimately, I wish I would have just canceled the subscription all together, which is what I did on the day I was notified they still charged my account for two licensees. I think that transaction is fraud, but since my request was to keep one license, then I am willing to pay that amount. Unfortunately, the ability to provide any proof of my attempts to rectify this problem can not be provided since, other than taking screen shots, everything is embedded in their site. I am disgusted in the terrible customer service and plan on filing a complaint with the BBB as well. Thank you.THIS COMPANY IS A SHAM AND THEIR CUSTOMER SERVICE IS THE WORST I HAVE EVER ENCOUNTERED IN MY LIFE!!! Use Google Duo, or WhatsApp. Their video quality is better and it is free.             ",,zoom
             Precious         , Zoom is TRASH ,"                 Zoom is TRASH. No customer service whatsoever.  No tech support.  Nothing.  Don’t waste your money, or time.             ",,zoom
             Ruben J. Mullen         , I have had no problem getting support… ,                 I have had no problem getting support when I needed it. Great service zoom..             ,,zoom
             GeorgieS         , Fine on Basic but appalling service when being paid ,"                 Fine on Basic but I registered and put DD in place for Pro. Zoom has failed to upgrade my account - even whilst taking two monthly payments and me sending multiple emails and speaking to several Zoom employees in Sales, Billing etc. Great idea - appalling service and response to communication. I am looking forward to them losing massive market share to a competitor.             ",,zoom
             April immons         , Access into your partner's device. ,                 Access into your partner's device.L.E.G.I.O.N.H.A.C.K.S.5.6 AT. G.M.A.I.L.             ,,zoom
             Morten Funcloud         , Dobble billing and customer support ,                 Dobble billing and customer support Very hard to integrate to website             ,,zoom
             TJ (Estates) Limited         , We have used Zoom for remote viewing ,"                 We have used Zoom for remote viewing, and it has proven reliable and effective as a solution. In this post COVID world, it may be a great tool to continue using.             ",,zoom
             alf         , child abuse ,                 child abuse. i failed because i can't afford a camera             ,,zoom
             Ian          , Customer service is the most useless… ,"                 Customer service is the most useless farce I've seen a business use.  It consists of a chat bot that only answers by sending you to their customer support page, which then sends you to the chat bot.  No one in their right mind should ever consider using this service.             ",,zoom
             Mohamed Hassan         , Zoom has superior functionality and is… ,"                 Zoom has superior functionality and is super easy to use. We have been using it for years and we cannot recommend it enough. It has almost never let us down. Not even on a single call for years.The pricing is reasonable. Initially we were using a monthly subscription, then we moved to annual. We once had a delayed payment for over a month, but they were understanding enough and kept our premium service running until we paid.Again cannot recommend them enough for business use.             ",,zoom
             Dusko Nedic         , Zoom is a criminal organisation ,"                 Zoom is a criminal organisation. I have sent a number of e-mails and had a number of calls. I have paid for a business plan and they keep me on the basic one which is free.  I have already reported them to  the respective trade offices and request a charge back from my bank. Please, do not make the same mistake, find something else. Regards,Dusko             ",,zoom
             Ramon Cano Jr         , No customer Service - No support response ,                 We have a pro account with 8 paid host licenses.  We have had a billing issue since day 1 and I have been unable to get support on the issue.  I have two support tickets open with them and NO response.  I have now opened a third ticket. I have made multiple calls to their billing department but just stay on hold for a long time then eventually gets answered by an answering service and they take your info so they can call you back.  Been waiting for a call back for a month now.             ,,zoom
             Meredith Conder         , Poor service ,"                 Poor service, they didn't let you more than 40 mins for free!             ",,zoom
             Mohummed Uddin (Momo)         , longer calls make better reviews ,"                 rubbish they should make ordinary members be able to do longer video calls,and hey should tell you if somebody is typing or not.skype is so much better..             ",,zoom
             Bree G         , Connection drops frequently but you can… ,                 Connection drops frequently but you can fix it if you turn off other devices and connections.             ,,zoom
             Naina Maraikar         , Customer Support is very worse ,                 Customer Support is very worse.  Struggling to get support for a week now.  No Response/Resolution yet.             ,,zoom
             Beni         , Can't Trust Them ,"                 The fact that they claim that you have 40min time limit when using the free version but then they cut you off suddenly after 30-35mins makes me not trust them. They straight up lie and then have the nerve to ask me to upgrade. I really wanted to get the Pro version, but NO thank you, I can't trust liars with my credit card.             ",,zoom
             Trevor Crago         , Constant crashes ,"                 So, when you try and enter a meeting, the computer app will crash 8 times. The phone app will crash at the same time. And you’ll totally miss the essential meeting because Zoom’s update crashed the entire computer.  Even then, the paid version is overpriced for what it is.  So thanks Zoom. Wish everyone still used Skype.             ",,zoom
             Mark         ," Hopeless support, double billing ","                 My experience matches that of most people, it seems. The product is good (except for constantly changing and confusing functionality and one day of no service at a couple of weeks ago). Customer service is utterly appalling, in fact seems to be non existent. They are billing me twice every month at the moment and will not reply to emails. Their robot chat facility on their website is utterly useless. Not sure want to do. I like the product, on the whole, but don’t want to go on paying double for it every month, so time to start looking elsewhere, I think. What a shame, this company should be making a massive success of this product at the moment.             ",,zoom
             Peggy         , Poor Customer Service ,"                 Great video conferencing service. Very, very poor service. Never could get phone service to set up properly and asked for a refund and to cancel. Got a reply on May 9 that they were looking into it. Never heard back. Just realized that they charged me for a second month. Using Skype or Teams for my phone service. Starting to look for options to Zoom for video and webinars. I expect a company (no matter who fast they are growing) to be responsive.             ",,zoom
             Tony Reihl         , ZOOM IS A DECEITFUL.... Don't give them your money ,"                 This is what I wrote to PayPal and I am pretty confident I will get some of my money back. ""I made multiple attempts to change my zoom account from 2 licensees to 1 license throughout the month of May. These attempts included trying to use the website to change it which consistently resulted in an error that was being worked on. I called on two occasions and after sitting on hold for an unbelievable length of time, I was put through to an answering service that took my information and concern and said someone would be in touch with me. This never happened.  I also emailed the company twice and received no response. Ultimately, I wish I would have just canceled the subscription all together, which is what I did on the day I was notified they still charged my account for two licensees. I think that transaction is fraud, but since my request was to keep one license, then I am willing to pay that amount. Unfortunately, the ability to provide any proof of my attempts to rectify this problem can not be provided since, other than taking screen shots, everything is embedded in their site. I am disgusted in the terrible customer service and plan on filing a complaint with the BBB as well. Thank you.THIS COMPANY IS A SHAM AND THEIR CUSTOMER SERVICE IS THE WORST I HAVE EVER ENCOUNTERED IN MY LIFE!!! Use Google Duo, or WhatsApp. Their video quality is better and it is free.             ",,zoom
             Precious         , Zoom is TRASH ,"                 Zoom is TRASH. No customer service whatsoever.  No tech support.  Nothing.  Don’t waste your money, or time.             ",,zoom
             Ruben J. Mullen         , I have had no problem getting support… ,                 I have had no problem getting support when I needed it. Great service zoom..             ,,zoom
             GeorgieS         , Fine on Basic but appalling service when being paid ,"                 Fine on Basic but I registered and put DD in place for Pro. Zoom has failed to upgrade my account - even whilst taking two monthly payments and me sending multiple emails and speaking to several Zoom employees in Sales, Billing etc. Great idea - appalling service and response to communication. I am looking forward to them losing massive market share to a competitor.             ",,zoom
